"","legper","party_name","originalname","fullname","nickname","surname","shared","lengthofname","match","alternativematch"
"430",24,"Fianna Fáil","Mr. Pat (The Cope) Gallagher (Seat vacated 06-06-2009)","Pat Gallagher ",NA,"Gallagher",1,2,"Deputy Pat Gallagher ",NA
"431",24,"Fianna Fáil","Mr. Frank Fahey","Frank Fahey",NA,"Fahey",1,2,"Deputy Frank Fahey",NA
"432",24,"Fine Gael","Mr. Avril Doyle","Avril Doyle",NA,"Doyle",1,2,"Deputy Avril Doyle",NA
"433",24,"Fine Gael","Mr. John Bruton","John Bruton",NA,"Bruton",1,2,"Deputy John Bruton",NA
"434",24,"Fine Gael","Mr. Jim Mitchell","Jim Mitchell",NA,"Mitchell",1,2,"Deputy Jim Mitchell",NA
"435",24,"Fine Gael","Mr. Michael Noonan","Michael Noonan",NA,"Noonan",1,2,"Deputy Michael Noonan",NA
"436",24,"Fine Gael","Mr. Gay Mitchell","Gay Mitchell",NA,"Mitchell",1,2,"Deputy Gay Mitchell",NA
"437",24,"Fianna Fáil","Mr. Sean Byrne","Sean Byrne",NA,"Byrne",1,2,"Deputy Sean Byrne",NA
"438",24,"Fianna Fáil","Mr. Hugh Byrne","Hugh Byrne",NA,"Byrne",1,2,"Deputy Hugh Byrne",NA
"439",24,"Fianna Fáil","Mr. John (Kerry) O'Leary","John O'Leary","Kerry","O'Leary",1,2,"Deputy John O'Leary",NA
